player 1,player 2,player 3,player 4,player 5,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MYERS,PATRICK","PRESIDENT,MILES",00:00:53,-3,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,1,1,1,0,0,1,1
"DAVIS,EVAN","HALL,RILEY","HORN,JEREMY","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:00,0,5,4,0,0,2,0,1,1,0,0,3,5,4,1,3,1,1,1,1,3,1,0
"ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","SCARLETT,MICHAEL",00:04:04,-2,4,6,0,0,3,2,4,0,0,1,0,6,9,3,1,3,3,1,0,3,1,1
"ELY,JACK","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",02:39:37,26,315,262,51,39,71,93,58,23,37,65,86,289,268,54,33,88,73,55,30,53,50,72
"DAVIS,EVAN","HALL,RILEY","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:03:58,-11,2,8,1,1,6,1,3,0,4,1,0,13,7,2,0,0,2,0,3,0,3,0
"KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:01:23,-2,2,2,0,0,1,1,1,0,0,1,0,4,2,0,1,0,1,0,0,1,0,2
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SUI,MARK",00:00:50,5,5,2,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,0,0,1,0,2
"ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:18:34,-13,22,26,4,5,11,7,14,2,2,4,4,35,28,4,3,9,8,4,4,8,8,8
"DAVIS,EVAN","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:03:29,-2,4,7,2,0,3,2,2,0,1,1,0,6,6,3,1,1,3,2,0,0,0,0
"DAVIS,EVAN","HALL,RILEY","MORRIS,KENDRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",01:07:22,42,142,118,16,13,39,40,34,11,16,21,33,100,110,17,10,51,20,33,13,24,19,27
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK",00:04:17,-2,5,7,1,1,3,2,1,0,3,1,2,7,6,1,0,2,2,0,1,1,2,2
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MADDOCK,ANDREW","SCARLETT,MICHAEL",00:01:33,2,2,2,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0
"ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES","SUI,MARK",00:00:33,-2,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK",00:04:52,5,13,9,1,0,2,6,0,0,1,2,2,8,7,1,1,2,3,3,0,0,0,2
"KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:08:51,7,23,16,1,2,6,3,5,4,3,6,5,16,16,1,2,7,3,4,0,4,0,12
"ELY,JACK","HALL,RILEY","MYERS,PATRICK","PRESIDENT,MILES","SCARLETT,MICHAEL",00:54:39,-18,60,89,22,6,36,22,21,1,20,8,16,78,78,17,8,29,20,21,9,13,14,18
"ELY,JACK","HALL,RILEY","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:08:10,1,13,11,3,2,2,4,1,1,2,2,5,12,12,1,2,6,1,6,2,2,2,4
"DAVIS,EVAN","HALL,RILEY","KUSCH,RYAN","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:03:17,3,7,6,0,0,3,3,2,0,0,1,2,4,5,1,1,3,2,2,0,1,0,1
"ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT","PRESIDENT,MILES",00:06:06,-5,8,10,1,1,5,3,5,0,1,1,2,13,12,3,3,4,4,5,1,1,2,3
"DAVIS,EVAN","KIRSCH,MAXWELL","KUSCH,RYAN","LYNDS,SCOTT","MORRIS,KENDRICK",00:00:42,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","SCARLETT,MICHAEL",00:04:07,5,10,11,2,4,5,2,2,2,6,3,1,5,8,2,0,4,2,1,0,1,0,3
"ELY,JACK","KIRSCH,MAXWELL","MYERS,PATRICK","PRESIDENT,MILES","SUI,MARK",00:00:39,-3,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,1,0,1,0
"ELY,JACK","HALL,RILEY","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:03:21,-1,4,7,4,2,2,0,2,1,1,0,2,5,3,0,0,2,1,2,1,0,2,0
"ELY,JACK","HALL,RILEY","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:03:05,-5,3,3,0,0,3,0,1,1,2,0,0,8,5,2,1,0,1,0,2,1,2,0
"DAVIS,EVAN","ELY,JACK","KUSCH,RYAN","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:27,-4,2,4,1,0,3,1,1,0,0,0,2,6,6,0,3,5,2,3,0,3,0,4
"HALL,RILEY","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:01:09,0,3,3,2,0,0,1,0,0,0,0,1,3,3,0,0,2,0,0,1,2,1,0
"DAVIS,EVAN","HALL,RILEY","LYNDS,SCOTT","MYERS,PATRICK","PRESIDENT,MILES",00:09:54,12,21,18,5,5,4,6,3,3,6,4,0,9,18,6,0,7,1,1,1,6,1,6
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MORRIS,KENDRICK","PRESIDENT,MILES",00:02:06,3,5,3,0,0,1,1,0,1,1,0,0,2,3,0,0,2,1,1,0,1,1,0
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MYERS,PATRICK",00:03:25,-4,4,5,2,2,2,2,3,0,0,0,1,8,5,1,1,0,2,1,1,0,3,2
"ELY,JACK","HORN,JEREMY","KIRSCH,MAXWELL","LYNDS,SCOTT","SCARLETT,MICHAEL",00:03:53,6,10,6,0,0,2,2,1,2,1,2,0,4,6,1,0,4,0,3,1,0,1,2
"DAVIS,EVAN","ELY,JACK","KIRSCH,MAXWELL","MADDOCK,ANDREW","PRESIDENT,MILES",00:00:47,-4,0,1,0,0,1,0,1,0,0,0,0,4,1,0,2,0,0,0,1,1,1,2
"HALL,RILEY","KUSCH,RYAN","LEVINE,JD","MYERS,PATRICK","SCARLETT,MICHAEL",00:02:44,2,10,5,0,1,0,4,1,0,0,3,2,8,5,2,0,0,1,0,2,0,1,0
"HALL,RILEY","KUSCH,RYAN","MADDOCK,ANDREW","PRESIDENT,MILES","SCARLETT,MICHAEL",00:02:07,6,9,5,1,0,0,0,0,2,0,2,3,3,4,1,0,2,0,1,1,1,1,0
"DAVIS,EVAN","ELY,JACK","HALL,RILEY","HORN,JEREMY","LYNDS,SCOTT",00:01:45,1,5,2,0,1,0,2,0,0,1,0,1,4,3,0,0,1,1,1,0,0,0,2
"ELY,JACK","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:04:50,4,6,7,3,2,1,2,1,0,2,2,2,2,6,1,0,4,0,3,0,2,0,2
"DAVIS,EVAN","KIRSCH,MAXWELL","LYNDS,SCOTT","MORRIS,KENDRICK","PRESIDENT,MILES",00:04:57,6,12,8,3,1,0,4,1,1,0,4,1,6,8,0,2,6,1,3,1,4,1,3
"GARVIN,SAM","HALL,RILEY","HORN,JEREMY","LEVINE,JD","SCARLETT,MICHAEL",00:03:54,4,6,6,0,1,3,3,3,0,1,1,0,2,6,0,0,5,1,2,0,3,0,0
"ELY,JACK","HALL,RILEY","KIRSCH,MAXWELL","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:03:35,1,6,7,0,0,4,3,2,0,2,1,0,5,7,1,0,3,2,1,0,2,0,2
"ELY,JACK","KIRSCH,MAXWELL","LEVINE,JD","MORRIS,KENDRICK","SCARLETT,MICHAEL",00:02:01,-10,1,4,0,1,3,0,1,0,3,0,2,11,6,1,0,1,2,1,2,0,2,1
